STATENAME,ST_CASE,FATALS,VE_TOTAL,COUNTY,CITY,MONTH,MONTHNAME,DAY,DAY_WEEK,YEAR,HOUR,URBAN-RURAL,LONGITUDE,LATITUDE,HARM_EV,LGT_COND,WEATHER,Vehicle_Make,Accident_Involved,Vehicle_Type
Hawaii,150061,2,2,HAWAII,KAILUA KONA,July,14,14,Thursday,2022,21,Urban,19.71097222,-155.9774194,Motor Vehicle In-Transport,Dark - Unknown Lighting,Clear,Toyota Corolla,Motor Vehicle In-Transport,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)"
Hawaii,150062,3,1,KAUAI,WAILUA HAWAIIAN HOME LAND,July,13,13,Wednesday,2022,2,Urban,22.04959167,-159.3424278,Rollover/Overturn,Dark - Not Lighted,Rain,Lexus RX330/350/400h/450h,Pedestrian,Light Pickup
Hawaii,150063,1,1,HAWAII,KAILUA KONA,July,24,24,Sunday,2022,4,Urban,19.60761111,-155.9642056,Pedestrian,Dark - Not Lighted,Clear,Mazda Pickup/ B-Series Pickup,Pedestrian,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150064,1,1,HONOLULU,HONOLULU,July,26,26,Tuesday,2022,15,Urban,21.31360556,-157.8680361,Pedalcyclist,Daylight,Clear,Other Make Unknown cc,Utility Pole/Light Support,Light Pickup
Hawaii,150065,1,2,MAUI,WAI`EHU HAWAIIAN HOME LAND,July,31,31,Sunday,2022,9,Urban,20.92061111,-156.4989833,Motor Vehicle In-Transport,Daylight,Clear,Toyota Tacoma,Tree (Standing Only),"4-door sedan, hardtop"
Hawaii,150066,1,1,HAWAII,KAILUA KONA,June,14,14,Tuesday,2022,17,Urban,19.64679444,-155.9947833,Pedestrian,Daylight,Clear,Toyota Highlander,Pedestrian,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150067,2,4,HAWAII,HONOMU,July,4,4,Monday,2022,20,Rural,19.87283333,-155.1081972,Motor Vehicle In-Transport,Dark - Not Lighted,Cloudy,Toyota T-100,Motor Vehicle In-Transport,Light Pickup
Hawaii,150068,1,1,HAWAII,PA`AUILO,July,22,22,Friday,2022,11,Urban,19.81837222,-155.6341778,"Post, Pole or Other Supports",Daylight,Clear,Mercedes-Benz GLK Class,Motor Vehicle In-Transport,"4-door sedan, hardtop"
Hawaii,150070,2,2,HONOLULU,WAI`ANAE,August,7,7,Sunday,2022,10,Urban,21.44603889,-158.1882972,Motor Vehicle In-Transport,Daylight,Clear,Toyota Tacoma,Motor Vehicle In-Transport,Motor Scooter
Hawaii,150071,1,1,HONOLULU,WAIPI`O ACRES,August,6,6,Saturday,2022,4,Urban,21.43904722,-157.9947833,Pedestrian,Dark - Lighted,Clear,Toyota Tacoma,Motor Vehicle In-Transport,"4-door sedan, hardtop"
